--- COOLDOWN SIMULATION ANALYSIS ---
Generated at: 2025-10-10 18:20:11
Total Entries: 10000
Mean Cooldown: 3.1106s
Range: [2.4000s, 174.6258s]
------------------------------
Cooldown: 3.119878 s
Cooldown: 2.961346 s
Cooldown: 2.706979 s
Cooldown: 3.034034 s
Cooldown: 2.897346 s
Cooldown: 2.682189 s
Cooldown: 3.024542 s
Cooldown: 2.836206 s
Cooldown: 2.818765 s
Cooldown: 3.065683 s
Cooldown: 2.862674 s
Cooldown: 2.955093 s
Cooldown: 2.755259 s
Cooldown: 2.811316 s
Cooldown: 3.149321 s
Cooldown: 2.429558 s
Cooldown: 2.699709 s
Cooldown: 2.634198 s
Cooldown: 2.887127 s
Cooldown: 3.325449 s
Cooldown: 2.864220 s
Cooldown: 2.474732 s
Cooldown: 2.951173 s
Cooldown: 2.745870 s
Cooldown: 3.014532 s
Cooldown: 3.244521 s
Cooldown: 3.295922 s
Cooldown: 3.021646 s
Cooldown: 3.048275 s
Cooldown: 2.942444 s
Cooldown: 2.846985 s
Cooldown: 3.243819 s
Cooldown: 3.432083 s
Cooldown: 3.295377 s
Cooldown: 3.597775 s
Cooldown: 3.195267 s
Cooldown: 3.397983 s
Cooldown: 3.345174 s
Cooldown: 3.124822 s
Cooldown: 2.949770 s
Cooldown: 3.328162 s
Cooldown: 3.165906 s
Cooldown: 3.177474 s
Cooldown: 3.391950 s
Cooldown: 3.102567 s
Cooldown: 3.381646 s
Cooldown: 3.624269 s
Cooldown: 3.250180 s
Cooldown: 2.999366 s
Cooldown: 3.076157 s
Cooldown: 2.898590 s
Cooldown: 2.833156 s
Cooldown: 2.874390 s
Cooldown: 2.798889 s
Cooldown: 21.873662 s
Cooldown: 2.972589 s
Cooldown: 2.890788 s
Cooldown: 3.472310 s
Cooldown: 3.060342 s
Cooldown: 3.150164 s
Cooldown: 3.164675 s
Cooldown: 3.352914 s
Cooldown: 3.227608 s
Cooldown: 2.743596 s
Cooldown: 3.236806 s
Cooldown: 2.971770 s
Cooldown: 3.277706 s
Cooldown: 2.723993 s
Cooldown: 2.808194 s
Cooldown: 2.974342 s
Cooldown: 8.519112 s
Cooldown: 4.033569 s
Cooldown: 3.099579 s
Cooldown: 3.533044 s
Cooldown: 3.050298 s
Cooldown: 2.953489 s
Cooldown: 3.307044 s
Cooldown: 3.468177 s
Cooldown: 3.368969 s
Cooldown: 3.483796 s
Cooldown: 3.545062 s
Cooldown: 3.584438 s
Cooldown: 3.314963 s
Cooldown: 3.314285 s
Cooldown: 3.002871 s
Cooldown: 3.266176 s
Cooldown: 3.529814 s
Cooldown: 2.994246 s
Cooldown: 2.838688 s
Cooldown: 2.976702 s
Cooldown: 3.070185 s
Cooldown: 3.048116 s
Cooldown: 2.878667 s
Cooldown: 3.110575 s
Cooldown: 2.520594 s
Cooldown: 3.037799 s
Cooldown: 3.053365 s
Cooldown: 3.049469 s
Cooldown: 2.598556 s
Cooldown: 2.904266 s
Cooldown: 3.162143 s
Cooldown: 2.857840 s
Cooldown: 2.932318 s
Cooldown: 3.301787 s
Cooldown: 3.033795 s
Cooldown: 2.909551 s
Cooldown: 2.923610 s
Cooldown: 2.854832 s
Cooldown: 2.880599 s
Cooldown: 3.155179 s
Cooldown: 2.723286 s
Cooldown: 2.849541 s
Cooldown: 3.016506 s
Cooldown: 2.754471 s
Cooldown: 3.080598 s
Cooldown: 2.867855 s
Cooldown: 2.805584 s
Cooldown: 3.069241 s
Cooldown: 2.821919 s
Cooldown: 2.919954 s
Cooldown: 2.913537 s
Cooldown: 3.134429 s
Cooldown: 3.756196 s
Cooldown: 3.218725 s
Cooldown: 3.245711 s
Cooldown: 3.279622 s
Cooldown: 3.144418 s
Cooldown: 2.870504 s
Cooldown: 3.402482 s
Cooldown: 3.164796 s
Cooldown: 3.603400 s
Cooldown: 3.692102 s
Cooldown: 2.920283 s
Cooldown: 3.374841 s
Cooldown: 3.286960 s
Cooldown: 3.492770 s
Cooldown: 3.665535 s
Cooldown: 3.321635 s
Cooldown: 3.255791 s
Cooldown: 3.109639 s
Cooldown: 3.202286 s
Cooldown: 2.857602 s
Cooldown: 3.193571 s
Cooldown: 3.295541 s
Cooldown: 2.744413 s
Cooldown: 2.558124 s
Cooldown: 2.817129 s
Cooldown: 2.847307 s
Cooldown: 2.804226 s
Cooldown: 2.868498 s
Cooldown: 3.021962 s
Cooldown: 2.941554 s
Cooldown: 2.838047 s
Cooldown: 3.351634 s
Cooldown: 3.012494 s
Cooldown: 3.068887 s
Cooldown: 3.200248 s
Cooldown: 2.452844 s
Cooldown: 2.876602 s
Cooldown: 2.970797 s
Cooldown: 2.962310 s
Cooldown: 3.027529 s
Cooldown: 2.626097 s
Cooldown: 4.349609 s
Cooldown: 2.910395 s
Cooldown: 2.896968 s
Cooldown: 2.856877 s
Cooldown: 3.236137 s
Cooldown: 2.611989 s
Cooldown: 3.135309 s
Cooldown: 3.154403 s
Cooldown: 2.860981 s
Cooldown: 2.625781 s
Cooldown: 3.011754 s
Cooldown: 3.260296 s
Cooldown: 3.229526 s
Cooldown: 2.544692 s
Cooldown: 3.045322 s
Cooldown: 2.968203 s
Cooldown: 2.561691 s
Cooldown: 3.001450 s
Cooldown: 2.866059 s
Cooldown: 2.972248 s
Cooldown: 2.942106 s
Cooldown: 3.149248 s
Cooldown: 2.835069 s
Cooldown: 2.860064 s
Cooldown: 2.530153 s
Cooldown: 2.726890 s
Cooldown: 2.659779 s
Cooldown: 2.810123 s
Cooldown: 2.456972 s
Cooldown: 2.809021 s
Cooldown: 2.825666 s
Cooldown: 2.937653 s
Cooldown: 2.920208 s
Cooldown: 2.977309 s
Cooldown: 2.656761 s
Cooldown: 2.860743 s
Cooldown: 3.553610 s
Cooldown: 3.220628 s
Cooldown: 2.758779 s
Cooldown: 2.514334 s
Cooldown: 2.869592 s
Cooldown: 2.783745 s
Cooldown: 2.839580 s
Cooldown: 2.913923 s
Cooldown: 3.243534 s
Cooldown: 2.900647 s
Cooldown: 2.813954 s
Cooldown: 2.978945 s
Cooldown: 2.727287 s
Cooldown: 2.614215 s
Cooldown: 2.781590 s
Cooldown: 3.029958 s
Cooldown: 2.693502 s
Cooldown: 2.728067 s
Cooldown: 2.882825 s
Cooldown: 3.351855 s
Cooldown: 3.036580 s
Cooldown: 3.071460 s
Cooldown: 3.039731 s
Cooldown: 2.978803 s
Cooldown: 2.995205 s
Cooldown: 2.846174 s
Cooldown: 2.937642 s
Cooldown: 2.521513 s
Cooldown: 2.917690 s
Cooldown: 2.768047 s
Cooldown: 3.285094 s
Cooldown: 3.036030 s
Cooldown: 2.877411 s
Cooldown: 2.827965 s
Cooldown: 2.836966 s
Cooldown: 2.726319 s
Cooldown: 2.619597 s
Cooldown: 2.755262 s
Cooldown: 2.624158 s
